id,userName,score,content,reviewDate,thumbsUpCount,sentiment
237,Adeniji Yusuf,5,Good for using,2025-06-13 15:33:09,0,Positive
238,علیرضا خبیری,1,it's a espionage app,2025-06-13 15:33:03,0,Neutral
239,Umesh Jayswal,4,nice,2025-06-13 15:32:03,0,Positive
240,thurka sai saisai,5,I very exe,2025-06-13 15:31:37,0,Positive
241,Anusri jana,1,"whats up doesn't open, not received otp",2025-06-13 15:31:24,0,Neutral
242,Suffean,3,"we still not exit the video call mode even both party want to switch to call mode. and for some iphone user, their video call mode not turn into mini/pop up windows when they want to switch to other apps, instead the video call get pause.",2025-06-13 15:31:19,145,Negative
243,Emmanuel Matthew,2,"Whatsapp pls upgrade your features. The app is literally collecting 1.20 gb on my phone and when I want to clear space, it only shows the media on groups. You can't tell me that the remain one point something gb is because of my contacts. See I respect and like chatting on WhatsApp but if possible, there should be more convenient features, on telegram I can clear my space anytime I want and I have way more chats and contacts there yet it only takes nearly 400mb. So pls WhatsApp....",2025-06-13 15:29:22,0,Positive
244,Baljit Kour,5,Bahut kouthi,2025-06-13 15:28:26,0,Neutral
245,Zaid Nisar,2,badd,2025-06-13 15:28:20,1,Neutral
246,frances daly,5,very good,2025-06-13 15:28:03,1,Positive
247,Me Ajad,5,ajad bhai,2025-06-13 15:27:20,0,Neutral
248,Khombomuni Constance,5,Good,2025-06-13 15:27:04,0,Positive
249,Afsusajid couple,4,nice,2025-06-13 15:26:36,0,Positive
250,Agbedo Tosan,5,"It good,fun and make communication easy",2025-06-13 15:25:54,0,Positive
251,Justin Dawson (李俊星),5,good and convenient apps ever! love it!,2025-06-13 15:25:39,0,Positive
252,Priscilla Obayi,4,good,2025-06-13 15:24:10,0,Positive
253,Munyaradzi Mhembere,5,Good,2025-06-13 15:23:30,0,Positive
254,Swati Ranjan,4,this app is very useful for us,2025-06-13 15:22:26,0,Positive
255,राजकुमार केसरवानी,5,great,2025-06-13 15:21:50,0,Positive
256,Chowdhury Babu,5,nice,2025-06-13 15:21:26,0,Positive
257,Quami Stanza,4,This app is good for you to use,2025-06-13 15:21:04,0,Positive
258,sd foysal,5,nice apps,2025-06-13 15:21:00,0,Positive
259,Tangaza Nafiu,5,nice truthful,2025-06-13 15:20:11,0,Positive
260,Eswaran RC,4,audio call and SMS not received my phone,2025-06-13 15:19:34,0,Neutral
261,Natalia Tjokro,1,"I can't verify my email, the verification code is not sent to my email. I tried with different email, I even tried with different internet connection. Eventhough I can play video on youtube well, I still didn't get the verification code in my email. Until whatsapp said too many attempts and I cannot request code anymore. I want to change my phone I need to do chat backup, what should I do? Please fix the bug.",2025-06-13 15:18:25,2,Positive
262,unbeatable chinda,5,wonderful,2025-06-13 15:16:35,1,Positive
263,Mohsin Raxa,5,I like this,2025-06-13 15:15:59,0,Neutral
264,Manjinder singh Sandhu,5,i like this app because call and message 😄,2025-06-13 15:15:54,0,Neutral
