userName,content,score,at,thumbsUpCount
Ankit Kumar,good 👍😊,5,2025-06-20 00:11:05,0
SURAJ CHANDEL,aasaan ho gaya bus mein safar,5,2025-06-20 00:03:36,0
Sc,nice,5,2025-06-19 23:58:35,0
Pratibha Kolli,excellent app,5,2025-06-19 23:49:16,0
Aashik Shah,very bad 👎,1,2025-06-19 23:42:42,1
vijay kumar vijay kumar,super service THANKYOU,5,2025-06-19 23:33:33,0
Khemraj Patel,bohot khrab sarvice he tickit bookings par cancel hone par vapsh rufand nhi milta he chor campny he,1,2025-06-19 23:25:22,1
Anupam Halder,good,5,2025-06-19 22:57:06,0
Mohd Javed,good,5,2025-06-19 22:47:13,0
Romi Singh,verry good service,5,2025-06-19 22:42:11,0
HARPREET KAUR SETHI,selected 1 seat and it didn't appear,3,2025-06-19 22:38:48,0
Rajesh M,bad bus 🚌 😑 😒 😪,1,2025-06-19 22:31:41,1
Pankaj Kumar,👍😊,5,2025-06-19 22:27:20,0
Ajeet Maury,nice,5,2025-06-19 22:25:15,0
SHUBHAM TRIPATHI,"i have enjoyed my journey with comfort.Thanks Redbus and also Luxmi holidays for your great welcome,well mannered staff and also for your punctuality.",5,2025-06-19 22:23:43,0
Raysingh Meena,Very Smooth Experience 👍🏻,5,2025-06-19 22:23:18,0
Mudassir Mudassir,ok,3,2025-06-19 22:17:22,0
Sayyad Javed,very bad experience,1,2025-06-19 22:07:43,1
Abhijeet Sali,very good service,5,2025-06-19 22:00:01,0
Yashwant Verma,very nice,5,2025-06-19 21:52:34,0
Preeti thakur,good,1,2025-06-19 21:51:52,1
SATISH SHARMA,nice,5,2025-06-19 21:46:27,0
Balaga Sairam,very good app,5,2025-06-19 21:46:11,0
sumit singh,kindly fix issues your app is getting hang unable to book the ticket,4,2025-06-19 21:45:10,0
Poorva Parihar,"Highly incompetent customer service, I was booking the bus for my return trip from Manali to Delhi but in hurry I selected wrong dates and the which I wanted to book for was 27th june but I booked it on today's date. I reached out customer care 1 hour prior to reschedule the date but they did not help at all and my wasted just like that. Please improve your services so that your customers are allowed to make some mistakes.",1,2025-06-19 21:36:07,1
Nistala Srinivasu,nice,5,2025-06-19 21:34:51,0
Abdul Kayoom,very nice,1,2025-06-19 21:29:28,0
Manju Tiwari,good,5,2025-06-19 21:21:22,0
Rupam Debnath,good,2,2025-06-19 21:18:54,0
Harun Khan,good,5,2025-06-19 21:09:23,0
RESHAB RAWAT,good,5,2025-06-19 21:03:24,0
DIGVIJAYSINH SODHA,fabulous experience. also it makes a wake up call when we are about to reach at our destination.,5,2025-06-19 20:57:47,0
Vinod Poonia,very nice 👍👍👍👍👍👍👍,5,2025-06-19 20:54:54,0
Ram Limboo official,nice,5,2025-06-19 20:51:28,0
ANANDKUMAR CHOUKIMATH,good,5,2025-06-19 20:47:59,0
Sumit Dubey,nice experience,5,2025-06-19 20:39:18,0
Sayani Pal,"Harrowing experience with Redbus. Our Aut to Delhi bus broke down in the middle of the night at 3am, 300km from Delhi with no assistance or help at all. We were stranded for 3hrs before we were compelled to get out of the place with a private vehicle. We have raised a ticket with Redbus for resolution and ticket refund. Not only have they not resolved it, they closed the ticket without our consent. Never going to use Redbus again.",1,2025-06-19 20:29:55,1
இளம்பல்லவன் கபாடி குழு,super,5,2025-06-19 20:19:41,0
srinivas bokka,good,5,2025-06-19 20:18:23,0
film& music production,nice,5,2025-06-19 20:16:14,0
Krishan Attri,very good,2,2025-06-19 20:12:20,0
Vijay singh Meena,Good,5,2025-06-19 20:11:18,0
Vikash Beniwal,good service,5,2025-06-19 20:07:01,0
shahul meeran,good,5,2025-06-19 19:59:44,0
Aneesh Nair,Good bus booking app. Best in the app store. Easy and convenient.,5,2025-06-19 19:59:42,0
madhur saxena,nice application,5,2025-06-19 19:57:12,0
DHARMENDRA JHA,good 👍,5,2025-06-19 19:55:49,0
Nitesh Singh,something okk but not Setefid,2,2025-06-19 19:55:36,0
Dheeraj Pandey,there is no feature in this app to see your trip history.,2,2025-06-19 19:47:27,0
Aakash Mishra,Worst service ever,1,2025-06-19 19:33:39,1
vasanth kumar,ok,5,2025-06-19 19:28:40,0
dinesh seth,good,5,2025-06-19 19:26:21,0
karthik srinivas,bloody fraud app....they will not changing bus for emergency situation....got stucked in traffic.....money waste.......,1,2025-06-19 19:26:03,1
Sukhpreet Brar,good app,5,2025-06-19 19:25:58,0
Meeshan Mohan Srivastava,Best Service,5,2025-06-19 19:24:10,0
Devendra Kumar,so simple,4,2025-06-19 19:20:55,0
